100 302
40 93 1
20 54 1
56 31 1
54 97 1
54 3 1
12 43 1
12 54 1
89 38 1
98 43 1
35 54 1
21 43 1
18 43 1
70 54 1
56 32 1
30 54 1
73 11 1
95 10 1
39 48 1
28 43 1
54 82 1
76 43 1
90 72 1
31 40 1
20 91 1
57 44 1
87 65 1
92 54 1
64 43 1
86 18 1
58 56 1
61 43 1
78 54 1
93 43 1
59 2 1
95 76 1
54 72 1
69 21 1
46 54 1
42 67 1
94 30 1
54 77 1
33 44 1
40 43 1
57 11 1
23 88 1
54 75 1
69 54 1
100 51 1
24 10 1
21 98 1
69 64 1
62 54 1
41 12 1
95 43 1
14 94 1
6 67 1
65 43 1
31 3 1
32 48 1
44 38 1
63 15 1
46 98 1
54 89 1
54 68 1
83 55 1
7 9 1
1 43 1
96 54 1
71 43 1
9 89 1
22 54 1
41 20 1
81 43 1
69 77 1
40 44 1
22 65 1
27 54 1
51 3 1
61 54 1
81 88 1
54 73 1
88 54 1
30 84 1
51 43 1
5 29 1
65 38 1
83 43 1
8 54 1
10 43 1
82 43 1
2 75 1
80 57 1
54 32 1
53 54 1
54 76 1
99 43 1
28 26 1
86 9 1
61 32 1
87 54 1
87 77 1
65 10 1
95 54 1
5 89 1
29 51 1
12 57 1
79 67 1
77 93 1
37 43 1
55 43 1
77 43 1
62 25 1
54 93 1
62 38 1
54 60 1
94 43 1
37 19 1
84 43 1
54 49 1
36 43 1
54 34 1
59 60 1
87 50 1
14 54 1
63 54 1
66 75 1
22 9 1
34 2 1
54 44 1
24 54 1
88 71 1
54 38 1
1 21 1
41 9 1
11 43 1
60 98 1
62 43 1
15 64 1
80 69 1
70 45 1
52 83 1
62 50 1
54 1 1
31 43 1
66 43 1
54 57 1
25 54 1
54 21 1
41 19 1
40 21 1
50 54 1
61 46 1
90 38 1
54 9 1
71 76 1
23 43 1
54 16 1
5 2 1
47 24 1
27 86 1
26 43 1
70 51 1
51 71 1
96 79 1
78 43 1
58 54 1
100 19 1
72 85 1
94 54 1
29 26 1
54 98 1
31 33 1
54 64 1
47 86 1
36 54 1
54 45 1
23 21 1
65 54 1
62 15 1
84 54 1
8 65 1
100 53 1
70 15 1
28 16 1
54 67 1
59 54 1
51 38 1
92 43 1
87 98 1
57 49 1
96 60 1
18 73 1
95 57 1
30 43 1
78 6 1
52 54 1
80 54 1
54 91 1
41 54 1
54 90 1
54 19 1
72 93 1
48 43 1
23 54 1
18 67 1
54 51 1
70 8 1
68 55 1
24 57 1
96 43 1
62 36 1
68 48 1
27 26 1
14 50 1
69 43 1
31 54 1
30 73 1
42 73 1
5 64 1
56 54 1
52 43 1
7 54 1
33 66 1
16 10 1
35 43 1
78 77 1
84 93 1
8 5 1
54 4 1
38 43 1
35 16 1
42 54 1
6 43 1
75 71 1
15 51 1
55 90 1
61 41 1
73 10 1
27 53 1
52 53 1
45 43 1
85 43 1
54 11 1
35 36 1
83 48 1
4 43 1
54 17 1
28 73 1
59 15 1
27 89 1
97 43 1
18 54 1
16 38 1
50 43 1
1 55 1
5 54 1
79 43 1
40 39 1
45 51 1
14 38 1
37 99 1
35 49 1
54 48 1
39 43 1
37 78 1
52 79 1
73 85 1
87 78 1
18 93 1
54 29 1
27 65 1
62 28 1
99 44 1
50 82 1
54 39 1
86 54 1
52 44 1
28 86 1
54 71 1
70 32 1
54 99 1
24 43 1
25 16 1
30 24 1
42 49 1
68 93 1
61 55 1
6 64 1
100 12 1
25 21 1
3 43 1
54 66 1
81 89 1
22 35 1
54 33 1
81 46 1
54 85 1
80 12 1
32 43 1
95 17 1
67 44 1
20 82 1
